"User ID";"Loyality_Points";"rnk"
634;83843.266;1
99;23665.737;2
672;22757.78;3
212;22199.282;4
740;19211.824;5
566;19153.755;6
714;16764.234;7
421;15446.46;8
369;14438.444;9
30;14053.375;10
587;13638.881;11
222;13348.803;12
352;13040.65;13
365;12855.052;14
920;12535.789;15
162;12483.584;16
415;12304.415;17
569;12285.423;18
786;12097.216;19
2;12040.475;20
238;11638.838;21
992;11627.777;22
28;10622.449;23
538;10298.616;24
208;9840.406;25
989;9789.192;26
978;9399.005;27
915;9340.002;28
678;9292.421;29
78;9134.885;30
909;9068.07;31
182;8840.907;32
93;8814.822;33
200;8365.783;34
259;8265.515;35
306;8260.857;36
344;8239.608;37
601;8128.062;38
515;7882.608;39
294;7633.973;40
681;7551.664;41
950;7498.395;42
675;7102.849;43
663;6981.217;44
438;6974.456;45
619;6970.413;46
245;6656.115;47
547;6410.942;48
612;6402.05;49
949;6262.112;50
976;6251.215;51
856;6224.519;52
687;6145.313;53
417;6112.707;54
16;6112.56;55
193;5865.599;56
599;5848.337;57
202;5745.265;58
366;5602.629;59
464;5540.867;60
508;5481.758;61
850;5422.87;62
946;5422.328;63
97;5344.955;64
688;5278.174;65
871;5235.821;66
959;5101.663;67
82;5085.57;68
173;5039.654;69
153;4981.742;70
890;4978.083;71
765;4974.397;72
667;4937.056;73
540;4917.243;74
854;4720.071;75
467;4609.426;76
618;4516.648;77
146;4491.319;78
927;4482.001;79
505;4427.273;80
625;4396.205;81
941;4378.915;82
130;4335.416;83
922;4332.588;84
407;4192.015;85
901;4146.859;86
70;4115.87;87
502;4076.058;88
168;4057.065;89
836;4010.984;90
754;4005.697;91
897;3951.409;92
455;3949.843;93
372;3898.621;94
962;3892.279;95
449;3778.074;96
602;3708.971;97
80;3698.092;98
651;3693.023;99
289;3633.476;100
785;3559.996;101
880;3541.197;102
196;3514.595;103
708;3477.554;104
9;3477.42;105
869;3476.626;106
653;3474.236;107
141;3466.92;108
565;3447.216;109
448;3346.615;110
240;3341.72;111
386;3302.005;112
772;3283.711;113
336;3272.606;114
526;3267.66;115
471;3259.664;116
285;3210.759;117
439;3148.142;118
157;3145.903;119
279;3090.42;120
884;3082.743;121
774;3079.996;122
921;3003.398;123
496;2978.829;124
39;2954.636;125
446;2923.758;126
299;2910.25;127
559;2886.542;128
137;2874.197;129
985;2816.052;130
829;2767.302;131
85;2737.831;132
945;2737.395;133
488;2722.845;134
581;2721.874;135
474;2713.684;136
181;2702.21;137
637;2696.89;138
271;2676.015;139
790;2670.139;140
966;2638.009;141
557;2637.659;142
390;2632.411;143
764;2625.407;144
27;2611.727;145
911;2580.489;146
257;2567.422;147
826;2529.951;148
456;2520.003;149
795;2517.19;150
707;2510.678;151
179;2502.603;152
100;2498.224;153
636;2471.01;154
852;2458.767;155
102;2435.707;156
126;2421.209;157
673;2388.751;158
142;2366.887;159
373;2365.31;160
296;2363.873;161
828;2332.299;162
247;2328.42;163
426;2324.057;164
341;2319.946;165
604;2317.677;166
936;2307.773;167
542;2292.523;168
608;2287.435;169
47;2259.368;170
940;2239.601;171
913;2238.826;172
798;2219.045;173
845;2211.738;174
788;2210.174;175
411;2194.002;176
377;2189.881;177
340;2180.234;178
112;2169.478;179
967;2142.993;180
214;2140.718;181
414;2102.008;182
473;2066.594;183
628;2063.615;184
218;2030.354;185
539;2014.434;186
159;2013.392;187
548;1967.779;188
668;1965.791;189
735;1924.615;190
23;1922.21;191
779;1884.593;192
187;1849.286;193
722;1835.014;194
710;1818.901;195
987;1811.457;196
422;1806.696;197
827;1786.998;198
114;1784.702;199
633;1782.529;200
541;1756.289;201
400;1739.621;202
517;1724.722;203
237;1709.402;204
493;1704.006;205
487;1703.407;206
342;1663.514;207
699;1656.567;208
866;1651.616;209
804;1640.698;210
468;1635.695;211
149;1629.701;212
242;1624.073;213
164;1623.13;214
840;1621.321;215
269;1611.418;216
317;1609.965;217
863;1608.079;218
380;1602.148;219
353;1599.206;220
178;1589.82;221
658;1588.89;222
748;1588.21;223
834;1562.674;224
947;1561.215;225
497;1548.633;226
677;1546.641;227
476;1536.715;228
357;1527.399;229
519;1517.577;230
272;1512.602;231
408;1508.047;232
266;1502.827;233
190;1490.981;234
46;1466.808;235
90;1456.051;236
745;1453.242;237
717;1452.25;238
370;1450.172;239
654;1422.615;240
194;1403.609;241
739;1379.305;242
60;1373.31;243
89;1368.409;244
140;1366.207;245
577;1360.315;246
930;1342.099;247
690;1338.238;248
354;1325.854;249
937;1318.615;250
803;1311.221;251
424;1306.377;252
833;1301.246;253
436;1262.235;254
977;1259.619;255
560;1253.529;256
412;1253.492;257
145;1247.104;258
45;1245.923;259
644;1235.23;260
183;1232.073;261
229;1224.066;262
760;1222.972;263
888;1214.588;264
53;1197.819;265
830;1191.211;266
777;1181.757;267
802;1179.766;268
924;1178.54;269
409;1176.966;270
460;1163.598;271
923;1147.814;272
931;1146.918;273
175;1146.604;274
304;1145.213;275
31;1137.707;276
12;1133.304;277
204;1126.316;278
310;1125.548;279
614;1125.136;280
11;1124.297;281
731;1111.038;282
963;1109.932;283
477;1108.908;284
104;1101.006;285
450;1094.541;286
514;1084.46;287
982;1073.251;288
996;1058.831;289
235;1057.837;290
586;1056.035;291
59;1053.845;292
458;1048.069;293
639;1045.615;294
744;1039.953;295
972;1031.621;296
583;1015.632;297
52;1015.021;298
158;1007.433;299
853;995.166;300
763;991.624;301
887;988.4;302
147;987.41;303
510;986.12;304
5;982.758;305
776;981.751;306
305;974.667;307
309;974.595;308
433;969.801;309
81;967.21;310
523;948.452;311
246;936.027;312
535;934.664;313
356;933.208;314
652;931.611;315
495;931.004;316
861;920.799;317
58;915.208;318
973;911.64;319
107;909.106;320
295;906.606;321
371;904.216;322
990;902.8;323
821;892.216;324
646;891.722;325
258;887.226;326
974;885.819;327
77;881.815;328
738;881.0;329
597;878.732;330
796;878.511;331
878;877.514;332
851;865.743;333
747;861.811;334
442;860.54;335
794;858.811;336
338;852.445;337
106;851.816;338
693;849.438;339
504;848.599;340
730;844.909;341
694;832.384;342
682;830.01;343
270;827.208;344
659;820.8;345
292;803.819;346
537;802.604;347
101;802.402;348
437;801.736;349
518;793.594;350
588;793.22;351
980;791.989;352
844;774.727;353
843;768.292;354
991;767.213;355
441;766.997;356
582;764.0;357
683;762.407;358
389;760.715;359
139;760.438;360
201;755.54;361
223;754.201;362
203;750.603;363
810;750.403;364
605;731.749;365
613;731.002;366
445;729.797;367
205;729.2;368
253;729.15;369
418;728.2;370
929;725.594;371
427;721.806;372
461;721.396;373
63;720.644;374
303;720.008;375
709;717.3;376
727;711.804;377
624;708.402;378
452;701.228;379
74;699.667;380
300;698.998;381
297;688.419;382
751;686.872;383
831;683.466;384
902;677.3;385
805;677.141;386
749;677.027;387
206;676.011;388
574;674.713;389
485;665.004;390
632;652.854;391
889;641.512;392
185;635.358;393
280;632.234;394
21;631.804;395
958;630.514;396
713;630.199;397
657;628.917;398
32;628.766;399
553;625.919;400
961;617.407;401
695;615.713;402
848;615.316;403
520;615.205;404
383;613.563;405
733;613.034;406
849;611.298;407
330;610.252;408
318;609.699;409
273;609.393;410
84;601.304;411
806;599.016;412
343;597.808;413
932;591.72;414
335;591.403;415
283;577.436;416
108;574.409;417
965;570.803;418
641;568.932;419
334;565.316;420
600;563.124;421
401;558.799;422
750;558.323;423
904;552.002;424
753;551.0;425
10;549.741;426
492;539.019;427
571;532.325;428
837;531.57;429
320;530.605;430
721;530.402;431
979;523.406;432
797;520.497;433
298;517.201;434
567;511.632;435
700;511.609;436
825;504.562;437
115;503.503;438
546;500.202;439
24;496.221;440
402;492.205;441
649;491.101;442
532;491.019;443
822;488.318;444
509;486.456;445
530;486.315;446
516;480.813;447
51;479.706;448
607;479.525;449
355;478.699;450
784;474.609;451
131;469.019;452
378;462.327;453
233;461.197;454
525;460.687;455
759;460.329;456
647;456.794;457
250;455.499;458
347;455.028;459
160;446.406;460
762;446.195;461
251;442.725;462
648;442.013;463
122;439.027;464
564;438.614;465
133;438.17;466
263;437.592;467
860;437.276;468
325;432.407;469
819;429.798;470
809;429.503;471
783;429.361;472
42;425.206;473
768;424.001;474
308;421.203;475
513;417.303;476
326;417.009;477
3;416.004;478
19;413.905;479
399;413.21;480
864;409.213;481
971;407.692;482
313;407.203;483
167;407.104;484
666;401.698;485
397;401.314;486
951;400.403;487
734;399.809;488
103;397.236;489
144;395.4;490
875;392.944;491
381;392.81;492
598;386.305;493
580;384.883;494
71;376.129;495
984;375.807;496
329;373.413;497
876;373.012;498
775;372.801;499
907;372.502;500
953;359.004;501
705;352.005;502
995;348.605;503
484;346.317;504
348;345.807;505
403;338.404;506
939;331.017;507
758;330.62;508
952;329.009;509
554;325.414;510
724;324.833;511
665;324.206;512
361;323.405;513
573;322.82;514
72;321.179;515
529;320.406;516
25;320.206;517
466;319.714;518
379;319.555;519
132;318.824;520
824;317.1;521
117;315.803;522
676;313.215;523
934;312.581;524
161;312.212;525
430;311.405;526
287;311.305;527
113;310.804;528
64;309.192;529
650;309.171;530
171;307.006;531
562;306.209;532
199;306.006;533
867;303.403;534
376;301.803;535
916;299.578;536
933;298.698;537
801;298.104;538
394;297.967;539
286;294.405;540
351;291.659;541
555;290.802;542
44;290.592;543
274;290.397;544
645;287.205;545
944;286.44;546
375;285.4;547
479;284.605;548
534;277.31;549
213;276.1;550
367;269.834;551
54;268.604;552
536;268.305;553
679;265.603;554
440;265.397;555
550;265.298;556
898;262.116;557
664;262.045;558
685;261.808;559
964;259.606;560
620;256.202;561
877;255.602;562
419;255.598;563
451;253.804;564
811;253.407;565
896;253.203;566
900;251.083;567
268;250.603;568
73;250.401;569
627;250.355;570
256;247.605;571
264;245.706;572
275;245.305;573
391;243.8;574
885;243.11;575
635;242.274;576
420;240.914;577
570;239.601;578
198;236.619;579
215;236.606;580
337;236.025;581
86;230.803;582
732;230.413;583
855;230.395;584
670;228.406;585
746;228.206;586
891;226.805;587
231;226.226;588
307;226.176;589
742;225.553;590
234;221.985;591
521;221.898;592
533;219.805;593
719;217.719;594
184;217.509;595
841;217.216;596
454;216.605;597
368;216.012;598
55;213.706;599
404;211.006;600
43;211.0;601
792;210.51;602
908;208.412;603
262;207.122;604
489;206.004;605
431;205.125;606
17;204.012;607
429;203.731;608
220;203.006;609
862;201.607;610
691;200.447;611
20;200.399;612
322;198.356;613
549;197.466;614
288;197.104;615
662;193.543;616
152;190.6;617
689;190.183;618
723;189.957;619
631;189.074;620
384;187.702;621
968;183.409;622
428;178.214;623
501;177.02;624
197;176.0;625
873;175.915;626
50;173.205;627
737;173.115;628
558;173.064;629
443;172.613;630
36;171.6;631
33;171.596;632
893;170.82;633
865;168.802;634
483;167.751;635
611;167.599;636
302;165.933;637
76;164.783;638
655;164.606;639
766;164.489;640
563;163.231;641
718;163.21;642
823;161.408;643
124;161.215;644
91;159.704;645
395;159.605;646
576;157.413;647
324;157.399;648
527;157.201;649
69;156.703;650
943;155.362;651
217;153.603;652
79;152.61;653
711;152.603;654
807;151.513;655
640;151.505;656
761;151.201;657
219;149.608;658
813;148.191;659
166;147.207;660
37;146.013;661
314;143.21;662
327;142.476;663
789;142.207;664
148;139.209;665
186;139.202;666
261;139.097;667
405;137.745;668
881;137.603;669
301;137.403;670
120;137.003;671
522;136.602;672
815;136.6;673
818;136.007;674
163;134.807;675
832;134.446;676
382;133.505;677
14;132.828;678
975;132.205;679
227;131.8;680
935;131.009;681
671;130.6;682
475;130.403;683
169;130.002;684
393;129.836;685
684;128.827;686
592;125.053;687
999;124.803;688
503;122.287;689
276;121.827;690
127;121.4;691
434;119.404;692
150;119.4;693
332;117.001;694
928;116.801;695
416;116.406;696
18;115.899;697
816;114.8;698
616;114.8;698
123;114.133;699
121;113.801;700
290;113.801;700
622;113.22;701
494;112.801;702
817;112.787;703
125;112.055;704
752;110.809;705
469;110.802;706
914;110.005;707
88;108.601;708
75;108.599;709
425;108.202;710
62;107.641;711
96;107.405;712
725;107.399;713
6;106.407;714
642;106.202;715
207;106.168;716
491;106.004;717
56;105.705;718
773;105.434;719
872;105.408;720
498;104.215;721
743;103.803;722
360;102.802;723
544;102.323;724
83;101.117;725
769;100.801;726
756;100.602;727
8;99.4;728
282;99.003;729
95;98.204;730
874;97.804;731
155;97.706;732
180;97.398;733
248;97.213;734
561;97.012;735
925;94.81;736
584;93.801;737
486;92.806;738
239;91.608;739
703;90.203;740
568;89.506;741
472;89.503;742
716;89.34;743
470;89.306;744
94;86.587;745
767;85.8;746
575;85.203;747
346;84.404;748
311;83.801;749
656;83.608;750
926;82.818;751
480;82.685;752
948;82.309;753
615;82.17;754
524;81.4;755
482;81.204;756
704;81.141;757
728;80.952;758
87;80.604;759
423;80.308;760
459;79.07;761
500;77.426;762
603;76.805;763
398;76.601;764
230;76.412;765
316;76.282;766
630;76.207;767
267;75.503;768
870;75.057;769
998;74.805;770
156;73.801;771
606;73.6;772
110;71.801;773
906;71.601;774
623;71.407;775
696;71.403;776
453;69.942;777
154;69.8;778
284;69.51;779
277;69.205;780
435;69.19;781
726;69.009;782
660;67.505;783
278;67.206;784
736;66.899;785
674;65.001;786
136;64.803;787
331;64.802;788
29;64.603;789
224;64.401;790
364;64.204;791
621;63.205;792
596;62.602;793
254;61.602;794
610;61.402;795
174;60.689;796
609;60.601;797
392;60.402;798
701;60.202;799
26;59.609;800
938;59.1;801
846;58.801;802
686;58.405;803
838;57.001;804
814;56.801;805
15;56.801;805
385;56.801;805
680;56.407;806
118;56.202;807
895;56.001;808
954;55.601;809
170;55.402;810
778;55.402;810
255;55.204;811
882;55.001;812
528;54.801;813
812;54.605;814
151;54.601;815
981;54.401;816
506;54.4;817
143;53.8;818
551;53.401;819
350;52.201;820
957;52.002;821
1;51.601;822
820;51.403;823
960;51.201;824
176;51.005;825
781;50.803;826
22;50.605;827
13;50.601;828
232;50.41;829
339;49.6;830
291;49.001;831
638;48.212;832
333;48.053;833
396;47.769;834
791;47.604;835
912;47.574;836
578;47.263;837
34;47.203;838
465;46.605;839
432;45.806;840
7;45.284;841
67;44.402;842
481;43.601;843
478;43.263;844
128;42.804;845
983;42.602;846
134;42.204;847
499;42.104;848
116;41.801;849
462;41.603;850
321;41.602;851
177;41.602;851
729;40.506;852
661;40.204;853
226;39.953;854
698;39.804;855
585;39.8;856
572;38.857;857
374;38.4;858
919;38.001;859
626;37.802;860
241;36.8;861
463;35.602;862
249;35.401;863
715;35.4;864
594;35.15;865
986;35.0;866
770;34.801;867
899;34.706;868
444;33.602;869
57;32.6;870
755;32.403;871
457;32.365;872
66;31.802;873
41;31.601;874
49;30.402;875
669;29.802;876
413;29.301;877
328;28.401;878
281;27.801;879
787;27.601;880
720;26.817;881
209;26.612;882
556;26.401;883
955;26.2;884
917;26.001;885
61;26.001;885
692;25.405;886
406;23.604;887
886;23.6;888
879;23.201;889
260;22.802;890
942;22.802;890
210;22.603;891
358;22.601;892
319;22.432;893
191;22.401;894
129;22.202;895
903;21.803;896
216;21.801;897
629;21.801;897
808;21.801;897
997;21.8;898
956;21.601;899
910;21.601;899
228;20.601;900
839;20.601;900
105;20.402;901
244;20.399;902
362;20.201;903
799;20.201;903
593;20.201;903
543;20.201;903
969;20.201;903
221;19.672;904
410;19.601;905
349;19.202;906
252;18.86;907
68;18.811;908
4;18.501;909
192;17.801;910
511;17.431;911
359;17.405;912
970;17.003;913
835;15.801;914
211;15.801;914
293;15.402;915
859;15.401;916
994;15.401;916
323;15.201;917
712;14.401;918
138;14.0;919
119;13.801;920
65;13.801;920
741;13.801;920
591;13.8;921
189;13.8;921
531;13.6;922
800;13.6;922
780;13.403;923
512;13.201;924
236;12.804;925
345;12.801;926
109;11.601;927
868;11.201;928
706;11.2;929
905;11.001;930
702;10.801;931
188;10.601;932
135;10.601;932
225;10.601;932
847;10.203;933
918;10.201;934
793;10.2;935
363;9.6;936
552;9.401;937
842;9.207;938
172;8.804;939
111;8.4;940
315;8.2;941
92;7.601;942
894;6.8;943
545;6.6;944
98;6.401;945
447;5.8;946
617;5.601;947
579;5.6;948
387;5.301;949
883;5.2;950
265;5.2;950
490;4.0;951
0;3.0;952
195;3.0;952
988;2.8;953
757;2.4;954
590;2.4;954
48;2.2;955
697;1.8;956
782;1.6;957
595;1.6;957
40;1.4;958
771;1.2;959
589;1.2;959
243;1.0;960
892;1.0;960
312;1.0;960
165;0.6;961
35;0.6;961
388;0.4;962
858;0.4;962
643;0.4;962
507;0.4;962
857;0.4;962
993;0.4;962
38;0.2;963
