"User ID";"Loyality_Points";"rnk";"bonus"
634;83843.266;1;6639.0
99;23665.737;2;1874.0
672;22757.78;3;1802.0
212;22199.282;4;1758.0
740;19211.824;5;1521.0
566;19153.755;6;1517.0
714;16764.234;7;1327.0
421;15446.46;8;1223.0
369;14438.444;9;1143.0
30;14053.375;10;1113.0
587;13638.881;11;1080.0
222;13348.803;12;1057.0
352;13040.65;13;1033.0
365;12855.052;14;1018.0
920;12535.789;15;993.0
162;12483.584;16;988.0
415;12304.415;17;974.0
569;12285.423;18;973.0
786;12097.216;19;958.0
2;12040.475;20;953.0
238;11638.838;21;922.0
992;11627.777;22;921.0
28;10622.449;23;841.0
538;10298.616;24;815.0
208;9840.406;25;779.0
989;9789.192;26;775.0
978;9399.005;27;744.0
915;9340.002;28;740.0
678;9292.421;29;736.0
78;9134.885;30;723.0
909;9068.07;31;718.0
182;8840.907;32;700.0
93;8814.822;33;698.0
200;8365.783;34;662.0
259;8265.515;35;654.0
306;8260.857;36;654.0
344;8239.608;37;652.0
601;8128.062;38;644.0
515;7882.608;39;624.0
294;7633.973;40;604.0
681;7551.664;41;598.0
950;7498.395;42;594.0
675;7102.849;43;562.0
663;6981.217;44;553.0
438;6974.456;45;552.0
619;6970.413;46;552.0
245;6656.115;47;527.0
547;6410.942;48;508.0
612;6402.05;49;507.0
949;6262.112;50;496.0
